Date,Country,City,Specie,count,min,max,median,variance
30-03-2020,IN,Gandhinagar,co,55,1.5,12.5,5.7,61.51
20-04-2020,IN,Gandhinagar,co,61,1.8,8.8,5.7,43.15
31-12-2019,IN,Gandhinagar,co,61,0.9,32.6,9,779.15
28-02-2020,IN,Gandhinagar,co,69,1.5,42.3,9.9,704.27
24-05-2020,IN,Gandhinagar,co,72,1.4,24,6,132.63
09-04-2020,IN,Gandhinagar,co,72,1.9,20.3,6.3,107.3
30-04-2020,IN,Gandhinagar,co,72,1.7,13.1,6.2,62.21
02-04-2020,IN,Gandhinagar,co,72,1.7,9.8,5.5,55.74
12-05-2020,IN,Gandhinagar,co,72,1.9,14.1,4.3,33.23
25-06-2020,IN,Gandhinagar,co,65,1.1,14,5.6,83.54
07-07-2020,IN,Gandhinagar,co,48,2,15.4,6.1,59.25
14-01-2020,IN,Gandhinagar,co,62,4.2,35.1,6,263.72
29-02-2020,IN,Gandhinagar,co,72,1.5,45.7,8,554.79
18-03-2020,IN,Gandhinagar,co,72,1.5,37.6,5.3,741.47
16-04-2020,IN,Gandhinagar,co,43,1.6,38.3,7.1,315.25
12-06-2020,IN,Gandhinagar,co,72,1.5,22.2,5.3,162.68
18-01-2020,IN,Gandhinagar,co,51,2.5,14.7,5.6,84.47
26-01-2020,IN,Gandhinagar,co,51,1.6,61,10.3,2790.75
23-04-2020,IN,Gandhinagar,co,72,1.8,13.9,6.7,108.65
27-04-2020,IN,Gandhinagar,co,71,1.7,12,5.6,41.98
04-07-2020,IN,Gandhinagar,co,55,1.1,17,6.9,96.55
14-07-2020,IN,Gandhinagar,co,53,1.1,20.8,6.1,115.6
20-01-2020,IN,Gandhinagar,co,71,3.4,16.6,8.8,251.08
27-02-2020,IN,Gandhinagar,co,71,0.3,55.7,13,2072.7
05-04-2020,IN,Gandhinagar,co,48,1.6,15.8,5,103.62
02-05-2020,IN,Gandhinagar,co,72,2,9.5,5.9,22.91
26-05-2020,IN,Gandhinagar,co,72,1.4,13.9,6,45.28
27-05-2020,IN,Gandhinagar,co,72,1.6,17.3,6.1,78.59
05-06-2020,IN,Gandhinagar,co,72,1.4,19.8,5.2,93.14
15-06-2020,IN,Gandhinagar,co,72,2,31.4,4.5,229.5
22-01-2020,IN,Gandhinagar,co,65,2.2,16,7,239.66
